1, 0.000000, C++
1, 0.000000, Assembler
2, 0.000000, C++
2, 0.000000, Assembler
4, 0.000000, C++
4, 0.000000, Assembler
8, 0.000000, C++
8, 0.000000, Assembler
16, 0.000000, C++
16, 0.000000, Assembler
32, 0.000000, C++
32, 0.000000, Assembler
64, 0.000000, C++
64, 0.000000, Assembler
128, 0.000000, C++
128, 0.000000, Assembler
256, 0.000000, C++
256, 0.000000, Assembler
512, 0.000000, C++
512, 0.000000, Assembler
1024, 0.000000, C++
1024, 0.001000, Assembler
2048, 0.001000, C++
2048, 0.001000, Assembler
4096, 0.001000, C++
4096, 0.000000, Assembler
8192, 0.002000, C++
8192, 0.001000, Assembler
16384, 0.003000, C++
16384, 0.005000, Assembler
32768, 0.001000, C++
32768, 0.004000, Assembler
65536, 0.014000, C++
65536, 0.017000, Assembler
131072, 0.029000, C++
131072, 0.050000, Assembler
262144, 0.203000, C++
262144, 0.112000, Assembler
524288, 0.279000, C++
524288, 0.180000, Assembler
1048576, 0.408000, C++
1048576, 0.324000, Assembler
2097152, 0.482000, C++
2097152, 0.521000, Assembler
4194304, 1.008000, C++
4194304, 0.987000, Assembler
8388608, 1.781000, C++
8388608, 2.096000, Assembler
16777216, 3.674000, C++
16777216, 4.174000, Assembler
